CustomerID,Country,State,City,Zip Code,Tenure Months,Monthly Charges,Total Charges,is_monthly_contract,avg_monthly_spend,Churn Value,churn_probability,risk_segment
3668-QPYBK,United States,California,Los Angeles,90003,2,53.85,108.15,1,54.075,1,0.5740163393810996,Medium
9237-HQITU,United States,California,Los Angeles,90005,2,70.7,151.65,1,75.825,1,0.5548761844284126,Medium
9305-CDSKC,United States,California,Los Angeles,90006,8,99.65,820.5,1,102.5625,1,0.6798426464914659,Medium
7892-POOKP,United States,California,Los Angeles,90010,28,104.8,3046.05,1,108.78750000000001,1,0.5456330471178148,Medium
0280-XJGEX,United States,California,Los Angeles,90015,49,103.7,5036.3,1,102.78163265306122,1,0.30155045767577554,Low
4190-MFLUW,United States,California,Los Angeles,90020,10,55.2,528.35,1,52.835,1,0.5075674530957426,Medium
8779-QRDMV,United States,California,Los Angeles,90022,1,39.65,39.65,1,39.65,1,0.879228057484801,High
1066-JKSGK,United States,California,Los Angeles,90024,1,20.15,20.15,1,20.15,1,0.44985293808181476,Medium
6467-CHFZW,United States,California,Los Angeles,90028,47,99.35,4749.15,1,101.04574468085106,1,0.48344212585238605,Medium
8665-UTDHZ,United States,California,Los Angeles,90029,1,30.2,30.2,1,30.2,1,0.8248273606450287,High
8773-HHUOZ,United States,California,Los Angeles,90032,17,64.7,1093.1,1,64.3,1,0.6693196178015853,Medium
6047-YHPVI,United States,California,Los Angeles,90039,5,69.7,316.9,1,63.379999999999995,1,0.5236064044190769,Medium
5380-WJKOV,United States,California,Los Angeles,90041,34,106.35,3549.25,1,104.38970588235294,1,0.4675112742292466,Medium
8168-UQWWF,United States,California,Los Angeles,90042,11,97.85,1105.4,1,100.4909090909091,1,0.5767943445634066,Medium
7760-OYPDY,United States,California,Los Angeles,90056,2,80.65,144.15,1,72.075,1,0.6045314825855472,Medium
9420-LOJKX,United States,California,Los Angeles,90061,15,99.1,1426.4,1,95.09333333333333,1,0.3429782057222195,Low
7495-OOKFY,United States,California,Los Angeles,90063,8,80.65,633.3,1,79.1625,1,0.516331329159522,Medium
1658-BYGOY,United States,California,Los Angeles,90065,18,95.45,1752.55,1,97.36388888888888,1,0.6288448079809669,Medium
5698-BQJOH,United States,California,Beverly Hills,90211,9,94.4,857.25,1,95.25,1,0.6118209623592682,Medium
5919-TMRGD,United States,California,Huntington Park,90255,1,79.35,79.35,1,79.35,1,0.6114920625307064,Medium
9191-MYQKX,United States,California,Lynwood,90262,7,75.15,496.9,1,70.98571428571428,1,0.4651376332402746,Medium
8637-XJIVR,United States,California,Marina Del Rey,90292,12,78.95,927.35,1,77.27916666666667,1,0.4539114870527134,Medium
0278-YXOOG,United States,California,Inglewood,90301,5,21.05,113.85,1,22.77,1,0.3955920336042906,Low
4598-XLKNJ,United States,California,Inglewood,90303,25,98.5,2514.5,1,100.58,1,0.5540952845315629,Medium
3192-NQECA,United States,California,Santa Monica,90403,68,110.0,7611.85,0,111.93897058823529,1,0.2517512733518033,Low
0486-HECZI,United States,California,Torrance,90504,55,96.75,5238.9,1,95.25272727272727,1,0.2638157339285093,Low
4846-WHAFZ,United States,California,Whittier,90602,37,76.5,2868.15,1,77.51756756756757,1,0.4092774040328708,Medium
5299-RULOA,United States,California,Whittier,90606,10,100.25,1064.65,1,106.465,1,0.6628470717963244,Medium
0404-SWRVG,United States,California,La Habra,90631,3,74.4,229.55,1,76.51666666666667,1,0.6228711196064075,Medium
4412-YLTKF,United States,California,Pico Rivera,90660,27,78.05,2135.5,1,79.0925925925926,1,0.42667210180287485,Medium
6207-WIOLX,United States,California,Avalon,90704,25,58.6,1502.65,1,60.106,1,0.6509711221433035,Medium
3091-FYHKI,United States,California,Harbor City,90710,1,35.45,35.45,1,35.45,1,0.8749683600603041,High
2372-HWUHI,United States,California,Lakewood,90712,2,44.35,81.25,1,40.625,1,0.6960936746696477,Medium
0390-DCFDQ,United States,California,Los Alamitos,90720,1,70.45,70.45,1,70.45,1,0.5511246533087166,Medium
4080-OGPJL,United States,California,San Pedro,90731,8,71.15,563.65,1,70.45625,1,0.5848394623097213,Medium
2135-RXIHG,United States,California,Carson,90745,1,45.65,45.65,1,45.65,1,0.7661762589635759,High
3874-EQOEP,United States,California,Long Beach,90804,7,95.0,655.5,1,93.64285714285714,1,0.5260254325308684,Medium
